DISTRICTNAME,UNITNAME,Crime_No,Year,RI,Noofvehicle_involved,Accident_Classification,Accident_Spot,Accident_Location,Accident_SubLocation,Main_Cause,Hit_Run,Severity,Collision_Type,Junction_Control,Road_Character,Road_Type,Surface_Type,Surface_Condition,Road_Condition,Weather,Accident_Road,Landmark_first,Distance_LandMark_First,Latitude,Longitude
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Cross roads,City/Town,At pedestrian Crossing,Human Error,No,Grievous Injury,Hit pedestrian,No signal lights,Not Applicable,City or Town Road,Bitumen(Tar),Others,Not Applicable,Clear,HOSUR LASKAR ROAD,GANESHA DARSHINI HOTEL,10MET,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,3,Road Accidents,T Junction,City/Town,Near Bus stop,Human Error,Yes,Grievous Injury,Not Applicable,Controlled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,Sarjapura main road,Aishwarya junction,4km,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Other,City/Town,Open area,Human Error,No,Grievous Injury,Hit pedestrian,Uncontrolled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,HOSUR LASKAR ROAD,NEAR CAR SOUTH POLICE QTRS ADUGODI,500MTR,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Other,City/Town,Near Bus stop,Human Error,Not Applicable,Grievous Injury,Others,Controlled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,100  FEET RING ROAD KORAMANGALA,NEAR BDA COMPLEX KORAMANGALA,2KM,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Other,City/Town,Open area,Human Error,No,Damage Only,Rear end,Stop sign,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,80feet road,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Round about or Circle,City/Town,Near a factory industrial area,Human Error,Not Applicable,Grievous Injury,Others,Not Applicable,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Clear,MICO LINK ROAD ADUGODI,NEAR MICO BOSCH COMPANY,1KM,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Other,City/Town,Near School or College,Human Error,No,Grievous Injury,Hit pedestrian,No signal lights,Not Applicable,City or Town Road,Bitumen(Tar),Not Applicable,Not Applicable,Clear,KORAMANGALA 3 RD BLOCK,HIPPOCOMPOUS,50MET,0.1256489,0.7736518
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Narrow road,City/Town,Near office complex,Human Error,No,Grievous Injury,Others,Not at  Junction,Others,City or Town Road,Bitumen(Tar),Wet,Not Applicable,Clear,KORAMANGALA 1ST BLOCK,NIRGUNA MANDIR,100MET,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,2,Road Accidents,Junction,City/Town,Near Hospital,Human Error,No,Damage Only,Others,Controlled,Incline,City or Town Road,Bitumen(Tar),Dry,Not Applicable,Fine,Sarjapura main road koramangala,1,1,0.0,0.0
Bengaluru City,Adugodi Traffic PS,1.04432e+16,2016,1,1,Road Accidents,Other,City/Town,At pedestrian Crossing,Human Error,No,Not Applicable,Others,Not Applicable,Incline,Others,Bitumen(Tar),Dry,Not Applicable,Fine,B G ROAD,MARUDHARA GRANITE,1KM,0.0,0.0
